date,value,type
10:17:35 28/04/2024,44.58,Humid2
10:17:35 28/04/2024,995.94,Press1
10:17:35 28/04/2024,995.18,Press2
10:17:45 28/04/2024,18.1,Temp1
10:17:45 28/04/2024,18.92,Temp2
10:17:45 28/04/2024,91.08,Humid1
10:17:45 28/04/2024,44.68,Humid2
10:17:45 28/04/2024,995.93,Press1
10:17:45 28/04/2024,995.23,Press2
10:17:55 28/04/2024,18.09,Temp1
10:17:55 28/04/2024,18.9,Temp2
10:17:55 28/04/2024,91.06,Humid1
10:17:55 28/04/2024,44.68,Humid2
10:17:55 28/04/2024,995.88,Press1
10:17:55 28/04/2024,995.25,Press2
10:18:05 28/04/2024,18.1,Temp1
10:18:05 28/04/2024,18.91,Temp2
10:18:05 28/04/2024,91.09,Humid1
10:18:05 28/04/2024,44.72,Humid2
10:18:05 28/04/2024,995.97,Press1
10:18:05 28/04/2024,995.21,Press2
10:18:15 28/04/2024,18.09,Temp1
10:18:15 28/04/2024,18.91,Temp2
10:18:15 28/04/2024,91.09,Humid1
10:18:15 28/04/2024,44.48,Humid2
10:18:15 28/04/2024,995.96,Press1
10:18:15 28/04/2024,995.32,Press2
10:18:25 28/04/2024,18.09,Temp1
10:18:25 28/04/2024,18.92,Temp2
10:18:25 28/04/2024,91.08,Humid1
10:18:25 28/04/2024,44.94,Humid2
10:18:25 28/04/2024,995.96,Press1
10:18:25 28/04/2024,995.22,Press2
10:18:35 28/04/2024,18.08,Temp1
10:18:35 28/04/2024,18.92,Temp2
10:18:35 28/04/2024,91.09,Humid1
10:18:35 28/04/2024,44.63,Humid2
10:18:35 28/04/2024,995.89,Press1
10:18:35 28/04/2024,995.22,Press2
10:18:45 28/04/2024,18.08,Temp1
10:18:45 28/04/2024,18.92,Temp2
10:18:45 28/04/2024,91.08,Humid1
10:18:45 28/04/2024,44.72,Humid2
10:18:45 28/04/2024,995.97,Press1
10:18:45 28/04/2024,995.22,Press2
10:18:55 28/04/2024,18.08,Temp1
10:18:55 28/04/2024,18.94,Temp2
10:18:55 28/04/2024,91.09,Humid1
10:18:55 28/04/2024,45.13,Humid2
10:18:55 28/04/2024,995.95,Press1
10:18:55 28/04/2024,995.26,Press2
10:19:05 28/04/2024,18.08,Temp1
10:19:05 28/04/2024,18.92,Temp2
10:19:05 28/04/2024,91.07,Humid1
10:19:05 28/04/2024,44.64,Humid2
10:19:05 28/04/2024,995.94,Press1
10:19:05 28/04/2024,995.21,Press2
10:19:15 28/04/2024,18.09,Temp1
10:19:15 28/04/2024,18.91,Temp2
10:19:15 28/04/2024,91.09,Humid1
10:19:15 28/04/2024,44.58,Humid2
10:19:15 28/04/2024,995.99,Press1
10:19:15 28/04/2024,995.29,Press2
10:19:25 28/04/2024,18.09,Temp1
10:19:25 28/04/2024,18.91,Temp2
10:19:25 28/04/2024,91.09,Humid1
10:19:25 28/04/2024,44.65,Humid2
10:19:25 28/04/2024,995.96,Press1
10:19:25 28/04/2024,995.21,Press2
10:19:35 28/04/2024,18.08,Temp1
10:19:35 28/04/2024,18.91,Temp2
10:19:35 28/04/2024,91.1,Humid1
10:19:35 28/04/2024,44.77,Humid2
10:19:35 28/04/2024,995.95,Press1
10:19:35 28/04/2024,995.29,Press2
10:19:45 28/04/2024,18.09,Temp1
10:19:45 28/04/2024,18.92,Temp2
